"Certified Utilities Net Generation by Prime Mover (MWh), 2012",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12
Utility Name,Plant Name,Community Name,Fossil Fuel Turbines,Reciprocating Internal Combustion,Hydroelectric,Wind Turbine,Total Net Generation,Station Service Consumption,Gross Generation,Source,Notes
North Slope Borough Power & Light,Anaktuvuk Pass,Anaktuvuk Pass,0,4045,NA,0,4045,205,4250,pce,NA
North Slope Borough Power & Light,Atqasuk,Atqasuk,0,3523,NA,0,3523,92,3615,pce,NA
North Slope Borough Power & Light,Kaktovik,Kaktovik,0,5728,NA,0,5728,172,5900,pce,NA
North Slope Borough Power & Light,Nuiqsut,Nuiqsut,0,3464,0,0,3464,NA,NA,eia,NA
North Slope Borough Power & Light,Point Hope,Point Hope,0,6336,NA,0,6336,343,6679,pce,NA
North Slope Borough Power & Light,Point Lay,Point Lay,0,3227,NA,0,3227,390,3617,pce,NA
North Slope Borough Power & Light,Wainwright,Wainwright,0,6376,NA,0,6376,427,6803,pce,NA
Nunam Iqua Electric Company,Sheldon Point,Nunam Iqua,0,878,NA,0,878,24,902,pce,NA
Nushagak Electric Cooperative,Dillingham,"Dillingham, Aleknagik",0,19164,NA,0,19164,187,19351,pce,NA
"Ouzinkie, City of",Ouzinkie,Ouzinkie,0,538,28,0,566,19,585,pce,NA
Pedro Bay Village Council,Pedro Bay,Pedro Bay,0,192,NA,0,192,10,202,pce,NA
Pelican Utility,Pelican,Pelican,0,820,NA,0,820,27,847,pce,NA
"Petersburg, City of",Blind Slough,Petersburg,0,807,13259,0,14066,1103,15169,eia,NA
Pilot Point Electric Utility,Pilot Point,Pilot Point,0,459,NA,0,459,20,479,pce,NA
Port Heiden Utilities,Port Heiden,Port Heiden,0,657,NA,0,657,30,687,pce,NA
Puvurnaq Power Company,Kongiganak,Kongiganak,0,1009,NA,188,1197,38,1235,pce,NA
"Ruby, City of",Ruby,Ruby,0,676,NA,0,676,24,700,pce,NA
"Saint George, City of",Saint George,Saint George,0,734,NA,0,734,53,787,pce,NA
Saint Paul Municipal Electric,Saint Paul,Saint Paul,0,4533,NA,0,4533,167,4700,pce,NA
